datime,open,close,high,low,volume,money
2024-11-01 09:31:00,3891.2,3894.0,3894.2,3885.2,1674.0,1953641700.0
2024-11-01 09:32:00,3894.0,3896.8,3898.8,3893.2,1051.0,1228406580.0
2024-11-01 09:33:00,3896.4,3908.0,3908.0,3896.2,1020.0,1194286320.0
2024-11-01 09:34:00,3907.4,3904.8,3908.2,3904.4,852.0,998455380.0
2024-11-01 09:35:00,3905.0,3903.2,3905.0,3901.2,607.0,710764380.0
2024-11-01 09:36:00,3902.8,3899.6,3903.6,3898.4,630.0,737203560.0
2024-11-01 09:37:00,3898.8,3902.8,3905.0,3898.2,435.0,509257860.0
2024-11-01 09:38:00,3902.2,3903.2,3905.6,3898.4,440.0,515053920.0
2024-11-01 09:39:00,3902.0,3906.4,3907.2,3899.6,375.0,439165380.0
2024-11-01 09:40:00,3905.8,3905.4,3909.6,3903.4,400.0,468820140.0
2024-11-01 09:41:00,3905.2,3903.0,3906.0,3900.4,444.0,519932640.0
2024-11-01 09:42:00,3903.0,3895.0,3903.6,3894.4,471.0,550794120.0
2024-11-01 09:43:00,3894.4,3890.0,3896.4,3890.0,670.0,782520120.0
2024-11-01 09:44:00,3890.0,3887.4,3892.0,3886.4,755.0,880817700.0
2024-11-01 09:45:00,3887.0,3895.2,3895.4,3887.0,762.0,889593240.0
2024-11-01 09:46:00,3895.4,3902.4,3906.0,3895.4,1084.0,1268938920.0
2024-11-01 09:47:00,3902.8,3898.8,3903.2,3896.6,632.0,739440420.0
2024-11-01 09:48:00,3898.6,3903.0,3904.0,3897.2,594.0,694970520.0
2024-11-01 09:49:00,3903.6,3911.4,3912.0,3903.2,959.0,1124549940.0
2024-11-01 09:50:00,3912.2,3913.0,3915.0,3909.6,1012.0,1187708280.0
2024-11-01 09:51:00,3913.0,3915.8,3918.6,3913.0,802.0,942086580.0
2024-11-01 09:52:00,3916.2,3923.8,3926.6,3916.2,1227.0,1443527280.0
2024-11-01 09:53:00,3923.2,3922.2,3925.4,3920.4,908.0,1068658260.0
2024-11-01 09:54:00,3922.2,3918.8,3922.4,3918.2,711.0,836153100.0
2024-11-01 09:55:00,3918.8,3921.8,3923.2,3915.4,658.0,773568900.0
2024-11-01 09:56:00,3921.0,3916.0,3921.2,3912.4,676.0,793967340.0
2024-11-01 09:57:00,3916.8,3923.0,3923.2,3915.6,640.0,752679300.0
2024-11-01 09:58:00,3923.8,3930.0,3930.0,3922.2,929.0,1094266140.0
2024-11-01 09:59:00,3929.8,3928.6,3931.0,3926.8,879.0,1036097640.0
2024-11-01 10:00:00,3927.4,3927.8,3928.4,3923.0,634.0,746639280.0
2024-11-01 10:01:00,3928.0,3921.8,3928.4,3920.0,611.0,719065740.0
2024-11-01 10:02:00,3922.0,3919.0,3924.0,3917.8,458.0,538640520.0
2024-11-01 10:03:00,3919.4,3918.0,3922.6,3918.0,504.0,592749060.0
2024-11-01 10:04:00,3918.4,3925.2,3928.2,3917.8,848.0,998022420.0
2024-11-01 10:05:00,3924.6,3916.8,3925.2,3912.2,902.0,1059780120.0
2024-11-01 10:06:00,3916.2,3923.0,3923.0,3916.2,601.0,706586880.0
2024-11-01 10:07:00,3922.0,3921.8,3926.0,3918.4,719.0,846066600.0
2024-11-01 10:08:00,3921.0,3920.4,3923.2,3918.2,331.0,389328540.0
2024-11-01 10:09:00,3920.2,3912.2,3920.6,3912.2,504.0,592057020.0
2024-11-01 10:10:00,3912.2,3913.6,3913.8,3910.8,754.0,884970420.0
2024-11-01 10:11:00,3913.6,3910.2,3916.2,3910.0,575.0,675031680.0
2024-11-01 10:12:00,3910.4,3908.4,3911.8,3907.8,725.0,850289100.0
2024-11-01 10:13:00,3908.4,3905.4,3908.4,3903.4,770.0,902214600.0
2024-11-01 10:14:00,3905.0,3900.0,3906.2,3900.0,878.0,1027862820.0
2024-11-01 10:15:00,3900.0,3896.6,3900.0,3892.2,1031.0,1204846140.0
2024-11-01 10:16:00,3896.6,3900.0,3903.2,3895.0,1042.0,1219157340.0
2024-11-01 10:17:00,3902.0,3901.4,3905.2,3900.0,568.0,664988880.0
2024-11-01 10:18:00,3901.4,3902.4,3902.8,3898.2,424.0,496209240.0
2024-11-01 10:19:00,3902.8,3903.4,3905.2,3901.0,567.0,664059840.0
2024-11-01 10:20:00,3904.0,3906.6,3908.0,3902.4,532.0,623394240.0
2024-11-01 10:21:00,3907.0,3908.0,3910.0,3905.4,452.0,529910640.0
2024-11-01 10:22:00,3908.2,3908.8,3910.4,3906.4,408.0,478419480.0
2024-11-01 10:23:00,3909.0,3906.2,3909.2,3903.2,334.0,391352880.0
2024-11-01 10:24:00,3905.8,3915.0,3915.0,3905.2,608.0,713505900.0
2024-11-01 10:25:00,3915.0,3917.0,3918.0,3913.4,642.0,754263660.0
2024-11-01 10:26:00,3916.6,3915.8,3917.2,3911.0,495.0,581180820.0
2024-11-01 10:27:00,3916.0,3911.6,3918.0,3911.6,366.0,429883440.0
2024-11-01 10:28:00,3911.0,3910.4,3911.2,3909.4,252.0,295623480.0
2024-11-01 10:29:00,3911.4,3918.0,3918.0,3911.4,422.0,495733800.0
2024-11-01 10:30:00,3918.6,3924.4,3925.0,3918.4,749.0,881123640.0
2024-11-01 10:31:00,3924.2,3921.8,3924.4,3919.8,590.0,694267020.0
2024-11-01 10:32:00,3921.8,3918.8,3922.0,3918.4,309.0,363390360.0
2024-11-01 10:33:00,3918.6,3921.2,3923.0,3918.4,305.0,358787520.0
2024-11-01 10:34:00,3921.4,3923.8,3925.0,3916.8,560.0,658755240.0
2024-11-01 10:35:00,3922.8,3925.2,3925.2,3920.2,438.0,515528820.0
2024-11-01 10:36:00,3925.6,3930.8,3932.8,3923.4,857.0,1010180880.0
2024-11-01 10:37:00,3931.0,3930.0,3935.2,3929.0,822.0,969769020.0
2024-11-01 10:38:00,3930.2,3930.6,3932.8,3929.6,469.0,553143600.0
2024-11-01 10:39:00,3931.4,3926.6,3932.6,3926.0,576.0,679028340.0
2024-11-01 10:40:00,3925.6,3925.0,3929.2,3925.0,433.0,510173400.0
2024-11-01 10:41:00,3925.0,3927.6,3929.0,3922.4,636.0,749029860.0
2024-11-01 10:42:00,3927.6,3943.8,3945.0,3927.2,1500.0,1771995840.0
2024-11-01 10:43:00,3944.0,3940.0,3944.0,3938.2,858.0,1014407220.0
2024-11-01 10:44:00,3940.0,3939.8,3943.0,3938.8,592.0,699928920.0
2024-11-01 10:45:00,3938.8,3936.4,3939.6,3933.4,496.0,585761880.0
2024-11-01 10:46:00,3936.4,3941.0,3941.8,3936.4,610.0,721019040.0
2024-11-01 10:47:00,3941.0,3935.4,3941.4,3933.6,593.0,700410120.0
2024-11-01 10:48:00,3935.4,3936.0,3937.4,3933.2,362.0,427375920.0
2024-11-01 10:49:00,3937.0,3936.6,3941.8,3936.0,380.0,449077200.0
2024-11-01 10:50:00,3938.0,3932.6,3939.6,3931.6,467.0,551289000.0
2024-11-01 10:51:00,3933.0,3930.6,3933.4,3930.4,374.0,441140760.0
2024-11-01 10:52:00,3930.0,3927.0,3930.0,3925.8,424.0,499541820.0
2024-11-01 10:53:00,3928.4,3933.0,3933.0,3927.6,342.0,403307580.0
2024-11-01 10:54:00,3933.4,3928.6,3935.8,3927.8,334.0,393857400.0
2024-11-01 10:55:00,3928.2,3931.8,3931.8,3925.2,283.0,333440160.0
2024-11-01 10:56:00,3931.6,3931.2,3933.4,3928.0,282.0,332545080.0
2024-11-01 10:57:00,3931.2,3933.6,3936.6,3931.2,315.0,371812680.0
2024-11-01 10:58:00,3934.2,3936.0,3938.2,3932.0,216.0,255062940.0
2024-11-01 10:59:00,3935.6,3934.2,3937.2,3932.4,233.0,275067000.0
2024-11-01 11:00:00,3934.8,3936.2,3939.0,3934.2,244.0,288179580.0
2024-11-01 11:01:00,3935.8,3933.0,3936.4,3931.6,231.0,272604720.0
2024-11-01 11:02:00,3933.0,3928.0,3933.0,3926.2,408.0,480840060.0
2024-11-01 11:03:00,3929.2,3928.2,3929.4,3925.8,238.0,280379640.0
2024-11-01 11:04:00,3927.4,3923.0,3928.2,3922.0,462.0,543900240.0
2024-11-01 11:05:00,3923.4,3923.6,3925.0,3921.2,328.0,386071560.0
2024-11-01 11:06:00,3923.8,3925.8,3926.0,3921.0,416.0,489665220.0
2024-11-01 11:07:00,3925.4,3924.6,3925.4,3922.4,200.0,235430880.0
2024-11-01 11:08:00,3925.2,3929.0,3931.8,3925.0,456.0,537553320.0
2024-11-01 11:09:00,3929.0,3928.0,3929.6,3927.0,193.0,227452920.0
2024-11-01 11:10:00,3927.6,3929.6,3931.8,3926.6,176.0,207476700.0
2024-11-01 11:11:00,3930.0,3926.2,3930.6,3926.0,194.0,228593100.0
2024-11-01 11:12:00,3926.0,3930.2,3931.8,3925.6,198.0,233419620.0
2024-11-01 11:13:00,3930.2,3930.6,3934.8,3930.0,276.0,325608180.0
2024-11-01 11:14:00,3930.6,3932.8,3932.8,3928.4,143.0,168635880.0
2024-11-01 11:15:00,3932.2,3931.4,3932.2,3928.6,136.0,160353060.0
2024-11-01 11:16:00,3931.4,3929.0,3931.4,3926.8,212.0,249845820.0
2024-11-01 11:17:00,3929.0,3926.2,3933.2,3925.6,234.0,275841060.0
2024-11-01 11:18:00,3926.2,3921.6,3926.2,3918.0,690.0,811566600.0
2024-11-01 11:19:00,3921.6,3926.6,3926.8,3920.8,270.0,317811720.0
2024-11-01 11:20:00,3926.8,3928.8,3930.6,3925.0,234.0,275735340.0
2024-11-01 11:21:00,3928.6,3930.0,3932.8,3927.0,281.0,331357680.0
2024-11-01 11:22:00,3930.0,3935.0,3935.8,3929.8,333.0,393006360.0
2024-11-01 11:23:00,3934.8,3934.8,3936.8,3932.6,236.0,278588100.0
2024-11-01 11:24:00,3933.8,3937.0,3938.2,3933.4,241.0,284616780.0
2024-11-01 11:25:00,3937.0,3935.8,3938.6,3935.8,269.0,317739240.0
2024-11-01 11:26:00,3935.6,3933.6,3935.6,3931.8,214.0,252553260.0
2024-11-01 11:27:00,3933.6,3932.6,3934.4,3931.6,123.0,145132920.0
2024-11-01 11:28:00,3932.2,3933.8,3935.0,3930.0,195.0,230022120.0
2024-11-01 11:29:00,3934.0,3932.2,3935.6,3932.0,147.0,173477520.0
2024-11-01 11:30:00,3933.0,3934.8,3935.6,3931.8,150.0,177023640.0
2024-11-01 13:01:00,3937.0,3938.2,3943.4,3937.0,918.0,1085303940.0
2024-11-01 13:02:00,3938.8,3938.2,3941.0,3938.0,335.0,395933220.0
2024-11-01 13:03:00,3938.6,3936.8,3938.8,3933.0,394.0,465228000.0
2024-11-01 13:04:00,3937.0,3930.4,3937.0,3930.4,350.0,412943340.0
2024-11-01 13:05:00,3930.4,3927.6,3930.4,3927.2,367.0,432548340.0
2024-11-01 13:06:00,3927.6,3928.0,3930.0,3925.2,316.0,372351000.0
2024-11-01 13:07:00,3928.0,3928.0,3930.8,3926.8,258.0,304093260.0
2024-11-01 13:08:00,3928.6,3930.4,3930.4,3925.6,236.0,278128140.0
2024-11-01 13:09:00,3930.4,3931.6,3933.0,3930.4,266.0,313753560.0
2024-11-01 13:10:00,3931.8,3932.8,3934.8,3931.8,195.0,230119080.0
2024-11-01 13:11:00,3932.6,3930.8,3934.0,3928.2,228.0,268835880.0
2024-11-01 13:12:00,3930.6,3929.4,3931.4,3928.4,131.0,154459500.0
2024-11-01 13:13:00,3929.4,3927.2,3929.4,3926.2,301.0,354667200.0
2024-11-01 13:14:00,3927.2,3926.0,3927.4,3923.8,250.0,294426240.0
2024-11-01 13:15:00,3925.6,3924.2,3927.0,3923.2,307.0,361449240.0
2024-11-01 13:16:00,3923.8,3923.8,3927.4,3923.0,248.0,292040280.0
2024-11-01 13:17:00,3923.4,3922.0,3924.0,3922.0,365.0,429536400.0
2024-11-01 13:18:00,3921.6,3925.0,3926.4,3921.0,260.0,306059160.0
2024-11-01 13:19:00,3924.4,3924.4,3926.2,3923.4,144.0,169563360.0
2024-11-01 13:20:00,3924.2,3923.8,3926.8,3923.0,186.0,219007740.0
2024-11-01 13:21:00,3923.6,3926.8,3927.4,3923.6,138.0,162541560.0
2024-11-01 13:22:00,3927.4,3927.8,3927.8,3925.0,155.0,182555040.0
2024-11-01 13:23:00,3927.6,3923.4,3927.6,3922.4,195.0,229544700.0
