datime,open,close,high,low,volume,money
2023-06-02 09:31:00,3820.0,3829.8,3831.0,3819.0,2349.0,2696908140.0
2023-06-02 09:32:00,3830.6,3830.2,3832.2,3828.6,1376.0,1581194580.0
2023-06-02 09:33:00,3829.8,3829.6,3831.0,3827.8,625.0,718026420.0
2023-06-02 09:34:00,3829.2,3830.6,3831.0,3827.2,578.0,663968940.0
2023-06-02 09:35:00,3830.8,3828.6,3833.0,3826.2,706.0,811179540.0
2023-06-02 09:36:00,3829.0,3828.8,3831.0,3828.0,440.0,505526880.0
2023-06-02 09:37:00,3828.2,3825.2,3828.2,3824.2,616.0,706972080.0
2023-06-02 09:38:00,3824.8,3825.0,3825.8,3822.0,524.0,601047060.0
2023-06-02 09:39:00,3825.0,3822.0,3826.0,3822.0,309.0,354487140.0
2023-06-02 09:40:00,3821.8,3823.8,3825.0,3821.4,370.0,424383300.0
2023-06-02 09:41:00,3824.0,3824.0,3824.8,3822.8,275.0,315465060.0
2023-06-02 09:42:00,3824.2,3824.0,3826.4,3823.4,295.0,338526420.0
2023-06-02 09:43:00,3823.6,3823.4,3824.0,3822.0,240.0,275233320.0
2023-06-02 09:44:00,3823.4,3826.6,3828.0,3823.4,346.0,397167060.0
2023-06-02 09:45:00,3826.8,3825.2,3827.0,3823.4,231.0,265078200.0
2023-06-02 09:46:00,3825.2,3826.4,3827.0,3825.0,276.0,316808520.0
2023-06-02 09:47:00,3826.0,3826.8,3827.6,3825.0,355.0,407495880.0
2023-06-02 09:48:00,3826.8,3829.8,3829.8,3824.4,385.0,442037400.0
2023-06-02 09:49:00,3829.4,3830.2,3832.0,3828.6,492.0,565356720.0
2023-06-02 09:50:00,3830.2,3830.0,3830.6,3828.2,290.0,333158640.0
2023-06-02 09:51:00,3830.0,3827.8,3831.0,3827.8,229.0,263052180.0
2023-06-02 09:52:00,3827.8,3831.6,3832.6,3827.8,354.0,406806900.0
2023-06-02 09:53:00,3831.2,3829.6,3831.6,3828.4,236.0,271136880.0
2023-06-02 09:54:00,3829.4,3832.6,3834.0,3829.4,360.0,413897700.0
2023-06-02 09:55:00,3832.2,3833.8,3833.8,3830.4,253.0,290836380.0
