datime,open,close,high,low,volume,money
2024-01-31 09:31:00,3228.6,3235.4,3239.4,3226.0,1031.0,999862440.0
2024-01-31 09:32:00,3236.2,3237.0,3240.0,3235.8,399.0,387619620.0
2024-01-31 09:33:00,3237.2,3238.0,3240.2,3236.8,305.0,296303760.0
2024-01-31 09:34:00,3238.4,3241.6,3243.6,3236.0,338.0,328522260.0
2024-01-31 09:35:00,3241.6,3239.8,3242.8,3238.8,258.0,250864980.0
2024-01-31 09:36:00,3240.2,3240.2,3240.2,3236.0,264.0,256428180.0
2024-01-31 09:37:00,3240.0,3239.6,3241.8,3238.6,185.0,179821140.0
2024-01-31 09:38:00,3239.2,3240.8,3240.8,3236.6,151.0,146687700.0
2024-01-31 09:39:00,3240.8,3245.6,3249.0,3240.4,427.0,415776420.0
2024-01-31 09:40:00,3245.2,3243.0,3246.6,3241.0,255.0,248207220.0
2024-01-31 09:41:00,3243.0,3242.8,3244.0,3241.2,148.0,143964840.0
2024-01-31 09:42:00,3242.8,3241.8,3243.8,3240.2,120.0,116712180.0
2024-01-31 09:43:00,3241.6,3237.8,3241.6,3237.2,181.0,175886160.0
2024-01-31 09:44:00,3237.4,3235.2,3238.4,3235.2,189.0,183516480.0
2024-01-31 09:45:00,3235.2,3233.2,3235.4,3233.0,204.0,197926320.0
2024-01-31 09:46:00,3233.0,3231.2,3233.0,3230.6,231.0,223950480.0
2024-01-31 09:47:00,3230.8,3233.8,3233.8,3230.8,206.0,199744140.0
2024-01-31 09:48:00,3233.6,3228.6,3234.0,3228.0,318.0,308103120.0
2024-01-31 09:49:00,3228.4,3229.0,3230.4,3227.0,391.0,378700680.0
2024-01-31 09:50:00,3229.2,3225.8,3229.2,3223.4,393.0,380324160.0
2024-01-31 09:51:00,3226.0,3229.0,3231.0,3225.6,214.0,207303360.0
2024-01-31 09:52:00,3228.6,3223.6,3230.0,3223.6,249.0,241066140.0
2024-01-31 09:53:00,3223.6,3222.6,3224.8,3220.2,386.0,373166580.0
2024-01-31 09:54:00,3223.0,3225.2,3225.6,3222.4,162.0,156711720.0
2024-01-31 09:55:00,3225.6,3229.0,3232.4,3225.6,372.0,360455760.0
2024-01-31 09:56:00,3229.6,3227.8,3229.6,3226.0,152.0,147195840.0
2024-01-31 09:57:00,3227.2,3230.8,3232.6,3227.2,212.0,205439100.0
2024-01-31 09:58:00,3230.4,3230.0,3232.0,3228.8,175.0,169591620.0
