datime,open,close,high,low,volume,money
2024-11-15 09:31:00,4040.0,4052.0,4052.0,4040.0,2544.0,3089068020.0
2024-11-15 09:32:00,4052.0,4052.8,4053.0,4047.8,1245.0,1512817320.0
2024-11-15 09:33:00,4052.6,4049.4,4053.8,4049.4,893.0,1085469360.0
2024-11-15 09:34:00,4049.0,4055.8,4057.6,4048.6,886.0,1077566220.0
2024-11-15 09:35:00,4057.8,4051.2,4057.8,4050.0,665.0,808568940.0
2024-11-15 09:36:00,4051.4,4046.0,4051.4,4045.0,866.0,1051727280.0
2024-11-15 09:37:00,4046.2,4047.8,4048.6,4045.0,771.0,936050400.0
2024-11-15 09:38:00,4047.4,4043.2,4049.8,4041.6,762.0,924811200.0
2024-11-15 09:39:00,4043.0,4040.4,4043.0,4039.6,887.0,1075354980.0
2024-11-15 09:40:00,4040.0,4041.0,4044.8,4039.4,891.0,1080585420.0
2024-11-15 09:41:00,4041.4,4040.0,4043.0,4039.0,760.0,921406680.0
2024-11-15 09:42:00,4040.8,4039.6,4042.2,4038.8,633.0,767249100.0
2024-11-15 09:43:00,4039.4,4039.2,4040.6,4036.2,686.0,831133740.0
2024-11-15 09:44:00,4039.2,4038.4,4039.4,4037.0,493.0,597268680.0
2024-11-15 09:45:00,4038.2,4031.2,4038.6,4030.4,907.0,1097425320.0
2024-11-15 09:46:00,4031.0,4026.0,4032.0,4026.0,1252.0,1513577940.0
2024-11-15 09:47:00,4025.6,4023.8,4025.8,4020.0,1280.0,1545005100.0
2024-11-15 09:48:00,4024.2,4026.0,4030.6,4024.0,897.0,1083798900.0
2024-11-15 09:49:00,4025.8,4024.2,4029.0,4023.6,843.0,1018257360.0
2024-11-15 09:50:00,4024.6,4024.8,4027.0,4022.2,596.0,719597460.0
2024-11-15 09:51:00,4025.0,4021.4,4025.0,4018.4,986.0,1189312980.0
2024-11-15 09:52:00,4020.2,4020.2,4023.0,4016.2,918.0,1106925780.0
2024-11-15 09:53:00,4020.0,4020.0,4020.8,4018.0,597.0,719928000.0
2024-11-15 09:54:00,4020.0,4019.6,4020.6,4018.0,559.0,674013000.0
2024-11-15 09:55:00,4019.8,4024.8,4026.4,4019.6,1008.0,1216924140.0
2024-11-15 09:56:00,4024.8,4024.2,4025.6,4022.4,678.0,818453880.0
2024-11-15 09:57:00,4024.0,4030.0,4030.2,4022.8,593.0,716419680.0
2024-11-15 09:58:00,4030.0,4032.4,4035.0,4028.6,1001.0,1210999440.0
2024-11-15 09:59:00,4032.2,4031.0,4035.0,4030.4,645.0,780324180.0
2024-11-15 10:00:00,4030.6,4029.6,4032.2,4028.4,390.0,471565980.0
2024-11-15 10:01:00,4029.8,4035.4,4035.6,4029.8,750.0,907551240.0
2024-11-15 10:02:00,4035.2,4038.2,4041.4,4035.0,848.0,1027382640.0
2024-11-15 10:03:00,4037.6,4040.0,4041.0,4037.6,590.0,714962280.0
2024-11-15 10:04:00,4040.0,4039.8,4040.6,4037.6,590.0,714997800.0
2024-11-15 10:05:00,4040.4,4038.0,4040.4,4037.2,407.0,493116480.0
2024-11-15 10:06:00,4038.8,4042.0,4045.2,4038.8,792.0,960672480.0
2024-11-15 10:07:00,4042.0,4045.2,4045.4,4040.0,514.0,623449200.0
2024-11-15 10:08:00,4045.2,4044.2,4045.2,4042.8,376.0,456160980.0
2024-11-15 10:09:00,4043.8,4046.6,4048.0,4043.8,467.0,566926500.0
2024-11-15 10:10:00,4046.8,4047.4,4049.0,4046.2,427.0,518507700.0
2024-11-15 10:11:00,4047.8,4048.0,4049.2,4046.2,406.0,493007400.0
2024-11-15 10:12:00,4048.0,4044.4,4048.4,4044.2,459.0,557177400.0
2024-11-15 10:13:00,4044.6,4044.0,4045.0,4041.2,637.0,772657080.0
2024-11-15 10:14:00,4043.2,4042.6,4045.2,4041.2,384.0,465738960.0
2024-11-15 10:15:00,4042.8,4047.2,4047.4,4042.0,381.0,462269880.0
2024-11-15 10:16:00,4047.4,4053.0,4055.0,4047.4,999.0,1214470860.0
2024-11-15 10:17:00,4053.2,4051.2,4054.4,4050.0,617.0,750022620.0
2024-11-15 10:18:00,4050.6,4050.6,4052.2,4049.0,447.0,543159600.0
2024-11-15 10:19:00,4050.8,4050.8,4052.0,4047.4,379.0,460415100.0
2024-11-15 10:20:00,4050.8,4046.0,4050.8,4045.0,410.0,497830080.0
2024-11-15 10:21:00,4046.0,4047.6,4048.6,4045.8,362.0,439512600.0
2024-11-15 10:22:00,4047.2,4046.0,4048.6,4045.0,288.0,349679820.0
2024-11-15 10:23:00,4046.4,4042.8,4046.8,4042.0,381.0,462172140.0
2024-11-15 10:24:00,4042.8,4046.0,4046.4,4042.6,310.0,376160100.0
2024-11-15 10:25:00,4046.2,4051.4,4051.4,4046.2,351.0,426385380.0
2024-11-15 10:26:00,4052.0,4049.6,4054.6,4049.6,435.0,528868800.0
2024-11-15 10:27:00,4049.6,4055.6,4056.8,4048.6,565.0,687111000.0
2024-11-15 10:28:00,4056.0,4049.8,4057.2,4049.8,475.0,577695840.0
2024-11-15 10:29:00,4049.8,4046.6,4050.0,4046.2,444.0,539156880.0
2024-11-15 10:30:00,4046.8,4043.8,4047.0,4043.0,402.0,487828680.0
2024-11-15 10:31:00,4044.2,4043.2,4044.4,4041.2,451.0,546973260.0
2024-11-15 10:32:00,4042.4,4036.4,4042.6,4034.0,854.0,1034388420.0
2024-11-15 10:33:00,4037.0,4036.2,4039.4,4035.0,472.0,571741320.0
2024-11-15 10:34:00,4036.0,4036.0,4037.8,4032.2,639.0,773512620.0
2024-11-15 10:35:00,4036.6,4037.8,4038.8,4035.4,441.0,534110940.0
2024-11-15 10:36:00,4037.8,4035.8,4037.8,4034.2,262.0,317224980.0
2024-11-15 10:37:00,4036.4,4036.0,4038.4,4035.0,404.0,489282120.0
2024-11-15 10:38:00,4035.8,4031.6,4035.8,4031.4,484.0,585608040.0
2024-11-15 10:39:00,4032.0,4030.8,4035.2,4030.8,427.0,516611460.0
