datime,open,close,high,low,volume,money
2023-04-28 09:31:00,3994.2,4009.6,4010.0,3994.0,687.0,825471720.0
2023-04-28 09:32:00,4009.8,4008.8,4014.8,4008.2,288.0,346621020.0
2023-04-28 09:33:00,4009.2,4007.4,4009.4,4006.0,223.0,268083780.0
2023-04-28 09:34:00,4007.4,4005.6,4007.6,4003.0,257.0,308795160.0
2023-04-28 09:35:00,4005.6,4009.0,4010.0,4005.6,125.0,150307860.0
2023-04-28 09:36:00,4008.4,4009.0,4010.0,4007.0,164.0,197218140.0
2023-04-28 09:37:00,4009.4,4011.4,4012.4,4009.0,194.0,233433060.0
2023-04-28 09:38:00,4011.8,4013.0,4013.8,4010.0,214.0,257590800.0
2023-04-28 09:39:00,4012.8,4014.6,4014.6,4010.4,155.0,186573720.0
2023-04-28 09:40:00,4014.6,4017.4,4017.4,4014.0,218.0,262628940.0
2023-04-28 09:41:00,4017.6,4013.6,4017.6,4013.4,255.0,307150920.0
2023-04-28 09:42:00,4013.6,4012.8,4015.6,4012.2,123.0,148109520.0
2023-04-28 09:43:00,4013.4,4017.0,4018.0,4013.4,138.0,166247100.0
2023-04-28 09:44:00,4016.8,4021.0,4021.8,4016.8,250.0,301453560.0
2023-04-28 09:45:00,4021.0,4018.4,4021.2,4018.0,156.0,188111040.0
2023-04-28 09:46:00,4018.8,4020.8,4023.0,4018.8,230.0,277467180.0
2023-04-28 09:47:00,4020.8,4018.6,4020.8,4018.2,131.0,157968300.0
2023-04-28 09:48:00,4019.0,4020.4,4022.8,4019.0,115.0,138728460.0
2023-04-28 09:49:00,4020.4,4019.2,4021.8,4019.2,159.0,191756340.0
2023-04-28 09:50:00,4019.2,4017.4,4021.0,4017.0,188.0,226694940.0
2023-04-28 09:51:00,4017.4,4018.2,4019.4,4017.0,134.0,161529600.0
2023-04-28 09:52:00,4018.0,4018.2,4018.6,4017.4,99.0,119333700.0
2023-04-28 09:53:00,4018.0,4019.8,4020.6,4018.0,174.0,209817000.0
