datime,open,close,high,low,volume,money
2024-06-25 09:31:00,3453.6,3455.4,3457.8,3453.6,1464.0,1517727180.0
2024-06-25 09:32:00,3455.6,3454.8,3456.2,3453.0,602.0,623852940.0
2024-06-25 09:33:00,3455.0,3453.6,3457.2,3452.6,579.0,600150300.0
2024-06-25 09:34:00,3453.0,3448.6,3453.2,3448.0,575.0,595182060.0
2024-06-25 09:35:00,3448.4,3448.6,3450.2,3447.6,439.0,454211580.0
2024-06-25 09:36:00,3448.2,3445.8,3448.2,3444.6,563.0,582109560.0
2024-06-25 09:37:00,3445.8,3443.2,3446.4,3442.0,529.0,546496680.0
2024-06-25 09:38:00,3443.2,3442.4,3443.6,3440.4,565.0,583377960.0
2024-06-25 09:39:00,3442.6,3442.6,3443.0,3441.4,336.0,346974660.0
2024-06-25 09:40:00,3442.6,3442.0,3444.0,3441.8,381.0,393529980.0
2024-06-25 09:41:00,3442.0,3444.6,3444.8,3441.4,408.0,421470420.0
2024-06-25 09:42:00,3444.6,3447.0,3447.6,3444.2,443.0,457999800.0
2024-06-25 09:43:00,3446.6,3445.6,3446.6,3445.0,262.0,270835860.0
2024-06-25 09:44:00,3445.8,3444.0,3446.0,3443.0,152.0,157076220.0
2024-06-25 09:45:00,3444.0,3446.6,3446.8,3444.0,275.0,284285160.0
2024-06-25 09:46:00,3446.2,3444.6,3446.2,3444.6,204.0,210872580.0
2024-06-25 09:47:00,3444.8,3445.6,3446.4,3444.2,232.0,239781720.0
2024-06-25 09:48:00,3445.0,3445.0,3445.6,3444.0,150.0,155014380.0
2024-06-25 09:49:00,3444.6,3446.8,3446.8,3443.8,163.0,168467400.0
2024-06-25 09:50:00,3447.0,3448.6,3450.2,3446.8,377.0,390034200.0
2024-06-25 09:51:00,3448.8,3447.2,3449.2,3446.8,224.0,231703440.0
2024-06-25 09:52:00,3446.8,3446.6,3447.2,3445.4,212.0,219181320.0
2024-06-25 09:53:00,3446.6,3449.8,3450.4,3446.4,258.0,266925780.0
2024-06-25 09:54:00,3449.8,3450.8,3451.8,3449.4,389.0,402683760.0
2024-06-25 09:55:00,3450.2,3451.6,3452.6,3450.2,295.0,305455080.0
2024-06-25 09:56:00,3451.4,3452.8,3453.4,3451.2,266.0,275513340.0
2024-06-25 09:57:00,3452.8,3453.4,3453.8,3452.0,217.0,224795040.0
2024-06-25 09:58:00,3453.4,3452.4,3453.8,3451.2,307.0,317956920.0
2024-06-25 09:59:00,3452.4,3454.2,3454.2,3451.8,180.0,186476280.0
2024-06-25 10:00:00,3454.2,3454.4,3455.0,3453.8,254.0,263224800.0
2024-06-25 10:01:00,3454.0,3452.8,3454.6,3452.8,274.0,283900740.0
2024-06-25 10:02:00,3452.8,3451.2,3452.8,3451.0,247.0,255781140.0
2024-06-25 10:03:00,3451.0,3451.0,3451.8,3450.0,289.0,299189700.0
2024-06-25 10:04:00,3451.4,3449.6,3452.2,3449.2,206.0,213225540.0
2024-06-25 10:05:00,3449.8,3448.4,3449.8,3447.6,182.0,188294460.0
2024-06-25 10:06:00,3448.4,3448.6,3450.2,3448.4,140.0,144874200.0
2024-06-25 10:07:00,3449.0,3449.4,3450.2,3448.6,122.0,126249300.0
2024-06-25 10:08:00,3449.8,3449.8,3449.8,3447.8,161.0,166570080.0
2024-06-25 10:09:00,3449.8,3450.6,3451.8,3449.4,155.0,160456920.0
2024-06-25 10:10:00,3450.6,3448.2,3451.8,3448.2,133.0,137667060.0
2024-06-25 10:11:00,3448.2,3450.4,3450.8,3448.2,89.0,92104260.0
2024-06-25 10:12:00,3450.4,3449.8,3451.2,3449.2,95.0,98333100.0
2024-06-25 10:13:00,3450.4,3448.8,3450.4,3448.0,93.0,96222000.0
2024-06-25 10:14:00,3448.6,3448.8,3449.6,3446.8,164.0,169639740.0
2024-06-25 10:15:00,3448.8,3448.6,3449.2,3447.2,81.0,83792520.0
2024-06-25 10:16:00,3448.6,3448.2,3448.6,3446.8,95.0,98259960.0
2024-06-25 10:17:00,3448.2,3450.6,3450.8,3447.0,219.0,226578000.0
2024-06-25 10:18:00,3450.6,3453.2,3453.2,3450.6,217.0,224764320.0
2024-06-25 10:19:00,3452.6,3453.2,3453.4,3452.0,131.0,135700860.0
2024-06-25 10:20:00,3453.2,3452.8,3454.0,3452.6,148.0,153330240.0
2024-06-25 10:21:00,3453.2,3453.4,3454.0,3452.2,131.0,135713100.0
2024-06-25 10:22:00,3453.0,3453.6,3455.2,3453.0,216.0,223845720.0
2024-06-25 10:23:00,3453.8,3453.6,3455.0,3453.6,95.0,98454240.0
2024-06-25 10:24:00,3453.4,3452.8,3454.0,3452.2,111.0,114984900.0
