datime,open,close,high,low,volume,money
2023-11-16 09:31:00,3606.0,3600.2,3609.0,3595.8,2229.0,2408486400.0
2023-11-16 09:32:00,3600.8,3605.4,3609.8,3600.8,1231.0,1331139000.0
2023-11-16 09:33:00,3605.4,3609.4,3610.6,3604.4,892.0,965584500.0
2023-11-16 09:34:00,3609.2,3608.8,3610.0,3608.0,705.0,763259520.0
2023-11-16 09:35:00,3609.2,3611.2,3612.2,3609.0,670.0,725889180.0
2023-11-16 09:36:00,3611.2,3613.0,3614.8,3611.2,548.0,593988420.0
2023-11-16 09:37:00,3613.2,3611.0,3614.4,3611.0,564.0,611329620.0
2023-11-16 09:38:00,3611.2,3612.4,3615.0,3611.0,414.0,448804740.0
2023-11-16 09:39:00,3612.4,3612.0,3613.2,3611.4,355.0,384707580.0
2023-11-16 09:40:00,3612.2,3609.2,3613.6,3609.2,395.0,427969620.0
2023-11-16 09:41:00,3609.2,3609.0,3611.4,3608.6,357.0,386601600.0
2023-11-16 09:42:00,3609.0,3607.0,3610.6,3606.6,528.0,571553220.0
2023-11-16 09:43:00,3607.0,3609.2,3609.6,3606.2,337.0,364718340.0
2023-11-16 09:44:00,3609.2,3607.0,3609.4,3606.2,376.0,406906500.0
2023-11-16 09:45:00,3606.6,3605.2,3607.0,3604.6,385.0,416445540.0
2023-11-16 09:46:00,3605.4,3603.8,3605.4,3603.8,302.0,326551500.0
2023-11-16 09:47:00,3603.8,3600.6,3604.0,3600.4,570.0,616036140.0
2023-11-16 09:48:00,3601.0,3602.0,3602.8,3600.2,492.0,531612300.0
2023-11-16 09:49:00,3602.0,3600.8,3602.2,3600.4,205.0,221470620.0
2023-11-16 09:50:00,3600.8,3598.0,3601.0,3597.0,749.0,808576500.0
2023-11-16 09:51:00,3597.8,3596.6,3599.4,3595.2,630.0,679860660.0
2023-11-16 09:52:00,3596.8,3599.0,3599.6,3596.2,348.0,375609720.0
2023-11-16 09:53:00,3599.2,3599.0,3599.6,3597.8,299.0,322806600.0
2023-11-16 09:54:00,3599.4,3596.4,3599.6,3596.2,310.0,334571400.0
2023-11-16 09:55:00,3596.6,3596.8,3597.0,3595.6,339.0,365733420.0
2023-11-16 09:56:00,3596.8,3598.4,3598.8,3596.2,314.0,338898540.0
2023-11-16 09:57:00,3598.2,3599.6,3600.6,3597.4,438.0,472952400.0
2023-11-16 09:58:00,3599.6,3597.6,3600.2,3597.4,298.0,321721320.0
2023-11-16 09:59:00,3597.4,3595.2,3597.4,3595.0,286.0,308559180.0
2023-11-16 10:00:00,3595.0,3596.6,3597.6,3594.4,431.0,464919000.0
2023-11-16 10:01:00,3596.6,3597.6,3598.8,3595.4,503.0,542874540.0
2023-11-16 10:02:00,3597.8,3596.0,3597.8,3595.4,263.0,283772400.0
2023-11-16 10:03:00,3595.8,3594.6,3596.0,3594.6,201.0,216791040.0
2023-11-16 10:04:00,3594.4,3592.4,3594.4,3592.4,356.0,383771820.0
2023-11-16 10:05:00,3592.4,3592.6,3593.4,3592.0,256.0,275921100.0
2023-11-16 10:06:00,3592.4,3592.4,3592.8,3591.0,378.0,407293800.0
2023-11-16 10:07:00,3592.8,3594.0,3594.4,3592.8,262.0,282483660.0
2023-11-16 10:08:00,3594.0,3593.6,3594.4,3593.4,142.0,153101040.0
2023-11-16 10:09:00,3593.4,3590.8,3593.4,3590.4,282.0,303839340.0
2023-11-16 10:10:00,3590.8,3590.6,3592.4,3590.2,304.0,327514560.0
2023-11-16 10:11:00,3590.4,3591.8,3593.2,3590.4,270.0,290935560.0
2023-11-16 10:12:00,3591.8,3590.6,3592.2,3590.6,163.0,175615860.0
2023-11-16 10:13:00,3590.4,3590.6,3591.6,3590.4,209.0,225149400.0
