datime,open,close,high,low,volume,money
2024-05-29 09:31:00,3598.2,3605.4,3609.0,3598.2,1935.0,2092146900.0
2024-05-29 09:32:00,3605.2,3606.6,3607.6,3604.0,1145.0,1238559540.0
2024-05-29 09:33:00,3607.2,3606.2,3607.2,3605.2,600.0,649121460.0
2024-05-29 09:34:00,3606.4,3610.6,3611.6,3605.8,1011.0,1094639820.0
2024-05-29 09:35:00,3610.0,3610.0,3612.4,3609.8,613.0,664091760.0
2024-05-29 09:36:00,3610.0,3610.6,3611.8,3609.4,645.0,698674380.0
2024-05-29 09:37:00,3610.8,3607.8,3611.4,3607.8,578.0,625847760.0
2024-05-29 09:38:00,3608.0,3612.0,3612.0,3608.0,392.0,424592160.0
2024-05-29 09:39:00,3611.8,3613.2,3617.2,3611.8,903.0,979113180.0
2024-05-29 09:40:00,3613.2,3610.6,3613.2,3610.6,487.0,527684460.0
2024-05-29 09:41:00,3611.0,3610.4,3612.6,3610.2,398.0,431215860.0
2024-05-29 09:42:00,3610.4,3611.8,3612.0,3609.0,347.0,375866880.0
2024-05-29 09:43:00,3611.8,3609.2,3612.6,3609.2,321.0,347706660.0
2024-05-29 09:44:00,3609.4,3609.4,3610.6,3609.0,212.0,229583700.0
2024-05-29 09:45:00,3609.4,3609.2,3611.8,3608.8,295.0,319493220.0
2024-05-29 09:46:00,3609.4,3610.0,3610.6,3608.2,315.0,341094720.0
2024-05-29 09:47:00,3610.6,3613.6,3613.6,3609.0,404.0,437648280.0
2024-05-29 09:48:00,3613.0,3610.8,3614.0,3610.2,317.0,343505100.0
2024-05-29 09:49:00,3610.8,3611.4,3612.8,3610.4,284.0,307707360.0
2024-05-29 09:50:00,3611.2,3608.6,3612.6,3608.6,271.0,293542740.0
2024-05-29 09:51:00,3608.8,3609.0,3610.4,3608.4,233.0,252291300.0
2024-05-29 09:52:00,3609.2,3609.4,3610.4,3608.8,219.0,237153600.0
2024-05-29 09:53:00,3609.4,3610.8,3611.4,3609.4,204.0,220954680.0
2024-05-29 09:54:00,3611.0,3611.6,3612.6,3610.6,253.0,274115640.0
2024-05-29 09:55:00,3611.8,3612.6,3613.0,3611.6,241.0,261180420.0
2024-05-29 09:56:00,3612.0,3613.8,3614.8,3611.6,355.0,384807360.0
2024-05-29 09:57:00,3613.2,3615.2,3615.8,3613.0,363.0,393633720.0
2024-05-29 09:58:00,3615.2,3613.8,3615.6,3613.8,295.0,319921200.0
2024-05-29 09:59:00,3613.8,3615.4,3615.8,3613.8,233.0,252694380.0
2024-05-29 10:00:00,3615.0,3616.0,3616.2,3614.6,292.0,316723020.0
2024-05-29 10:01:00,3616.0,3617.2,3619.0,3615.4,795.0,862763280.0
2024-05-29 10:02:00,3617.0,3619.4,3619.8,3616.6,418.0,453694560.0
2024-05-29 10:03:00,3619.2,3617.0,3619.8,3616.0,351.0,380913120.0
2024-05-29 10:04:00,3617.0,3615.6,3617.2,3615.6,313.0,339579900.0
2024-05-29 10:05:00,3615.4,3615.0,3615.8,3614.2,290.0,314500980.0
2024-05-29 10:06:00,3615.2,3616.2,3616.4,3615.0,165.0,178978680.0
2024-05-29 10:07:00,3616.4,3613.8,3616.6,3613.4,221.0,239632740.0
2024-05-29 10:08:00,3614.0,3613.4,3614.0,3612.6,200.0,216793500.0
2024-05-29 10:09:00,3613.4,3612.8,3613.4,3612.6,101.0,109476240.0
2024-05-29 10:10:00,3612.8,3613.2,3613.2,3611.2,224.0,242742180.0
2024-05-29 10:11:00,3613.0,3613.2,3613.4,3611.8,225.0,243865980.0
2024-05-29 10:12:00,3612.8,3613.4,3613.6,3612.0,172.0,186411000.0
2024-05-29 10:13:00,3613.0,3614.0,3615.0,3613.0,180.0,195165720.0
2024-05-29 10:14:00,3614.6,3614.4,3615.2,3613.8,89.0,96506940.0
2024-05-29 10:15:00,3614.4,3615.0,3615.6,3614.4,110.0,119298240.0
2024-05-29 10:16:00,3615.0,3617.8,3617.8,3614.8,345.0,374320740.0
2024-05-29 10:17:00,3617.8,3617.6,3617.8,3616.8,140.0,151935600.0
2024-05-29 10:18:00,3617.4,3617.0,3619.0,3616.8,347.0,376633200.0
2024-05-29 10:19:00,3617.0,3615.8,3617.4,3615.4,187.0,202886940.0
2024-05-29 10:20:00,3616.0,3615.8,3617.0,3614.4,195.0,211508220.0
2024-05-29 10:21:00,3616.0,3616.0,3617.0,3615.0,149.0,161639460.0
