datime,open,close,high,low,volume,money
2024-07-11 09:31:00,3437.6,3431.4,3441.8,3427.4,2862.0,2950357500.0
2024-07-11 09:32:00,3430.4,3427.4,3431.4,3424.8,1093.0,1123770420.0
2024-07-11 09:33:00,3427.4,3435.4,3435.8,3426.0,772.0,794363700.0
2024-07-11 09:34:00,3435.4,3432.6,3436.4,3431.4,727.0,749068620.0
2024-07-11 09:35:00,3432.6,3429.0,3432.6,3428.2,545.0,560808420.0
2024-07-11 09:36:00,3429.0,3431.0,3433.0,3427.4,460.0,473358120.0
2024-07-11 09:37:00,3431.0,3429.6,3431.4,3429.0,250.0,257268240.0
2024-07-11 09:38:00,3430.2,3428.8,3430.8,3427.0,376.0,386744520.0
2024-07-11 09:39:00,3429.4,3433.6,3434.6,3429.4,403.0,414959460.0
2024-07-11 09:40:00,3433.6,3431.4,3434.4,3430.0,282.0,290296800.0
2024-07-11 09:41:00,3431.4,3427.4,3431.6,3427.2,377.0,387880560.0
2024-07-11 09:42:00,3427.2,3428.0,3430.0,3427.2,279.0,286968420.0
2024-07-11 09:43:00,3428.4,3432.4,3432.4,3427.6,216.0,222256140.0
2024-07-11 09:44:00,3431.8,3433.0,3433.0,3430.2,322.0,331495080.0
2024-07-11 09:45:00,3433.2,3432.6,3434.8,3432.6,288.0,296664240.0
2024-07-11 09:46:00,3432.2,3432.8,3434.0,3431.4,321.0,330561120.0
2024-07-11 09:47:00,3432.8,3435.0,3435.2,3432.2,240.0,247249080.0
2024-07-11 09:48:00,3435.0,3433.2,3435.4,3433.2,199.0,205037520.0
2024-07-11 09:49:00,3433.6,3434.2,3435.0,3433.0,139.0,143202420.0
2024-07-11 09:50:00,3434.4,3434.0,3434.6,3432.8,237.0,244113240.0
2024-07-11 09:51:00,3434.4,3434.8,3436.0,3433.6,220.0,226700820.0
2024-07-11 09:52:00,3434.6,3434.8,3436.0,3434.6,266.0,274141020.0
2024-07-11 09:53:00,3434.6,3435.2,3436.6,3434.4,283.0,291665160.0
2024-07-11 09:54:00,3435.0,3435.6,3435.8,3433.8,227.0,233916600.0
2024-07-11 09:55:00,3436.0,3436.2,3437.0,3435.8,286.0,294849000.0
2024-07-11 09:56:00,3436.4,3439.8,3440.0,3436.4,528.0,544685700.0
2024-07-11 09:57:00,3439.8,3446.4,3448.0,3439.8,1105.0,1141710540.0
2024-07-11 09:58:00,3446.6,3448.2,3449.0,3445.8,648.0,670100580.0
2024-07-11 09:59:00,3448.4,3446.4,3448.6,3445.8,338.0,349567980.0
2024-07-11 10:00:00,3446.6,3444.0,3447.2,3443.4,325.0,335906520.0
2024-07-11 10:01:00,3444.2,3445.6,3446.0,3443.8,464.0,479538240.0
2024-07-11 10:02:00,3445.6,3446.0,3448.4,3445.0,415.0,429126660.0
2024-07-11 10:03:00,3446.0,3450.8,3453.0,3445.6,861.0,891163260.0
2024-07-11 10:04:00,3450.8,3454.6,3455.0,3450.4,533.0,552132060.0
2024-07-11 10:05:00,3454.4,3457.4,3457.6,3454.4,728.0,754767480.0
2024-07-11 10:06:00,3457.2,3460.8,3462.0,3457.2,798.0,828133020.0
2024-07-11 10:07:00,3460.4,3460.0,3462.0,3460.0,443.0,460006320.0
2024-07-11 10:08:00,3460.0,3460.6,3461.0,3459.2,421.0,437010060.0
2024-07-11 10:09:00,3460.4,3462.2,3464.0,3460.4,572.0,594135360.0
2024-07-11 10:10:00,3462.4,3461.0,3462.6,3458.8,468.0,485841720.0
2024-07-11 10:11:00,3461.4,3462.4,3463.2,3461.2,558.0,579584820.0
2024-07-11 10:12:00,3462.4,3463.2,3465.4,3460.8,604.0,627620940.0
2024-07-11 10:13:00,3463.2,3464.4,3466.0,3463.2,295.0,306635700.0
2024-07-11 10:14:00,3464.4,3462.2,3464.4,3462.2,252.0,261830700.0
2024-07-11 10:15:00,3462.2,3466.8,3467.4,3462.2,353.0,366911640.0
2024-07-11 10:16:00,3467.0,3466.0,3468.8,3464.8,549.0,570999900.0
2024-07-11 10:17:00,3465.4,3463.0,3466.0,3462.6,354.0,367922400.0
2024-07-11 10:18:00,3462.6,3462.8,3466.2,3462.6,380.0,394975620.0
2024-07-11 10:19:00,3463.2,3461.2,3463.2,3461.2,359.0,372911280.0
2024-07-11 10:20:00,3461.2,3462.8,3463.2,3461.0,234.0,243026760.0
2024-07-11 10:21:00,3462.8,3463.2,3463.6,3460.8,251.0,260714640.0
2024-07-11 10:22:00,3463.0,3462.8,3464.2,3461.8,180.0,186994740.0
2024-07-11 10:23:00,3462.6,3462.2,3463.4,3461.4,132.0,137112180.0
2024-07-11 10:24:00,3462.2,3463.4,3463.4,3461.8,126.0,130893540.0
2024-07-11 10:25:00,3463.2,3459.8,3463.4,3459.8,291.0,302148120.0
2024-07-11 10:26:00,3459.6,3457.0,3459.6,3456.4,357.0,370301760.0
2024-07-11 10:27:00,3457.2,3458.4,3458.4,3457.0,142.0,147296340.0
2024-07-11 10:28:00,3458.0,3458.2,3459.6,3458.0,184.0,190923900.0
2024-07-11 10:29:00,3458.0,3459.8,3460.2,3458.0,130.0,134917080.0
2024-07-11 10:30:00,3459.8,3461.6,3461.6,3459.8,125.0,129784560.0
2024-07-11 10:31:00,3461.4,3462.6,3463.6,3461.4,225.0,233748720.0
2024-07-11 10:32:00,3462.6,3462.4,3463.4,3462.4,113.0,117394560.0
2024-07-11 10:33:00,3462.4,3463.0,3463.0,3461.6,170.0,176571000.0
